0.15;0.001039
0.151;0.004116
0.152;0.007145
0.153;-0.001157
0.154;0.002747
0.155;-0.001317
0.156;0.001265
0.157;-0.001157
0.158;-0.003524
0.159;0.004729
0.16;-0.002812
0.161;0.010126
0.162;0.007322
0.163;-0.00225
0.164;-0.002832
0.165;-0.00238
0.166;0.003456
0.167;0.007951
0.168;0.009256
0.169;0.002715
0.17;-0.002431
0.171;0.014057
0.172;0.003005
0.173;0.003375
0.174;0.000814
0.175;0.002103
0.176;0.003649
0.177;0.003681
0.178;-0.002441
0.179;0.001104
0.18;-0.006141
0.181;-0.003343
0.182;-0.005189
0.183;-0.004918
0.184;-0.002742
0.185;-0.002501
0.186;0.001829
0.187;0.014476
0.188;0.000508
0.189;0.012542
0.19;0.004503
0.191;0.002086
0.192;0.001152
0.193;0.003327
0.194;0.000234
0.195;0.003971
0.196;5.64E-05
0.197;-0.0056
0.198;-0.003434
0.199;-0.006883
