0.3;0.00663
0.301;0.011592
0.302;0.004567
0.303;-0.003534
0.304;0.001668
0.305;-0.000469
0.306;-0.000469
0.307;-0.001388
0.308;0.002521
0.309;0.000749
0.31;0.003343
0.311;-0.004547
0.312;-0.002982
0.313;-0.00585
0.314;-0.004547
0.315;-0.003965
0.316;-0.007355
0.317;-0.001668
0.318;-0.003885
0.319;0.000395
0.32;0.000703
0.321;0.001007
0.322;0.003311
0.323;0.007838
0.324;-0.001037
0.325;0.006243
0.326;0.010126
0.327;0.002715
0.328;-0.001297
0.329;0.000685
0.33;-0.001087
0.331;-0.00216
0.332;-0.002912
0.333;-0.003744
0.334;-0.005008
0.335;-0.002641
0.336;-0.007285
0.337;-0.00226
0.338;-0.003052
0.339;0.000153
0.34;-0.001117
0.341;0.00468
0.342;0.010657
0.343;0.007709
0.344;0.004986
0.345;-0.011938
0.346;-0.00236
0.347;-0.002711
0.348;0.003295
0.349;0.000524
