0.45;0.004165
0.451;0.001925
0.452;-0.001999
0.453;0.000894
0.454;0.001313
0.455;0.00642
0.456;-0.001688
0.457;-0.002982
0.458;-0.007054
0.459;-0.002611
0.46;0.000105
0.461;-0.004697
0.462;-0.001227
0.463;-0.003584
0.464;0.001506
0.465;0.003875
0.466;0.001136
0.467;0.004729
0.468;0.007709
0.469;0.002103
0.47;-0.001478
0.471;0.009884
0.472;-0.00207
0.473;0.004197
0.474;-0.00224
0.475;0.007355
0.476;-0.007054
0.477;0.001684
0.478;-0.005118
0.479;-0.000566
0.48;0.002457
0.481;-0.00557
0.482;-0.001428
0.483;-0.002511
0.484;0.002312
0.485;-0.003333
0.486;5.64E-05
0.487;-0.00574
0.488;0.006469
0.489;-0.002942
0.49;-0.010223
0.491;0.007451
0.492;-0.001277
0.493;0.001829
0.494;-0.001368
0.495;-0.001358
0.496;-0.003032
0.497;0.000898
0.498;0.007306
0.499;0.003311
