0.15;0.005566
0.151;-0.004326
0.152;-0.006763
0.153;0.003327
0.154;0.006887
0.155;-0.004838
0.156;-0.001709
0.157;-0.00226
0.158;0.005792
0.159;0.002521
0.16;0.016763
0.161;0.004696
0.162;-0.006573
0.163;-0.00205
0.164;-0.001167
0.165;-0.001327
0.166;0.002328
0.167;0.00112
0.168;0.000996
0.169;-0.005871
0.17;0.004825
0.171;0.002312
0.172;-0.006733
0.173;0.000312
0.174;0.003424
0.175;-0.004567
0.176;-0.003052
0.177;-0.001267
0.178;0.000153
0.179;0.000169
0.18;0.00228
0.181;0.006034
0.182;-0.001578
0.183;0.003279
0.184;0.003359
0.185;-0.00205
0.186;0.001861
0.187;-0.001458
0.188;0.005325
0.189;0.000798
0.19;-0.004115
0.191;-0.000273
0.192;-0.003454
0.193;-0.001578
0.194;0.003617
0.195;-0.003393
0.196;-0.001688
0.197;0.000266
0.198;-0.001979
0.199;0.004004
