Time - sec	Amplitude - g	tipo_valor
0.4716493298659732	-0.000732477806939	interpolado
0.4717491498299659	-0.0009359930308388	interpolado
0.4718489697939588	-0.001099385211471	interpolado
0.4719487897579516	-0.0012009485728091	interpolado
0.472	-0.001222	original
0.4721484296859371	-0.0011531244632472	interpolado
0.47224824964993	-0.0010175341064779	interpolado
0.4723480696139228	-0.0008302284363506	interpolado
0.4724478895779156	-0.0006084794112552	interpolado
0.4725477095419083	-0.0003695589895821	interpolado
0.4726475295059011	-0.0001307391297212	interpolado
0.4727473494698939	9.070820993728855e-05	interpolado
0.4728471694338867	0.0002775110710032	interpolado
0.4729469893978796	0.0004123974950866	interpolado
0.473	0.000457	original
0.4731466293258651	0.0004729931309583	interpolado
0.4732464492898579	0.0004071935443181	interpolado
0.4733462692538507	0.0002935778765435	interpolado
0.4734460892178435	0.0001445177621947	interpolado
0.4735459091818363	-2.7615164167757234e-05	interpolado
0.4736457291458292	-0.0002104492679838	interpolado
0.473745549109822	-0.0003916129146931	interpolado
0.4738453690738147	-0.0005587344697353	interpolado
0.4739451890378076	-0.0006994422985502	interpolado
0.474	-0.000761	original
0.4741448289657932	-0.0008554485320635	interpolado
0.4742446489297859	-0.0008553618659755	interpolado
0.4743444688937788	-0.0007953512942295	interpolado
0.4744442888577715	-0.0006695637456722	interpolado
0.4745441088217644	-0.0004721461491499	interpolado
0.4746439287857571	-0.0001972454335093	interpolado
0.4747437487497499	0.0001609914724033	interpolado
0.4748435687137426	0.0006084176397412	interpolado
0.4749433886777354	0.0011508861396578	interpolado
0.475	0.001503	original
0.475143028605721	0.0025276870279771	interpolado
0.4752428485697139	0.0033254530678051	interpolado
0.4753426685337067	0.0041589311553076	interpolado
0.4754424884976995	0.0049999640303455	interpolado
0.4755423084616923	0.00582039443278	interpolado
0.4756421284256851	0.006592065102471	interpolado
0.4757419483896779	0.0072868187792799	interpolado
0.4758417683536707	0.0078764982030666	interpolado
0.4759415883176635	0.0083329461136922	interpolado
0.476	0.008527	original
0.4761412282456491	0.0087510808186557	interpolado
0.476241048209642	0.0087086519354894	interpolado
0.4763408681736347	0.0085102109769307	interpolado
0.4764406881376273	0.008164807646064	interpolado
0.4765405081016203	0.0076814916459734	interpolado
0.476640328065613	0.007069312679744	interpolado
0.4767401480296058	0.0063373204504594	interpolado
0.4768399679935986	0.0054945646612051	interpolado
0.4769397879575914	0.0045500950150649	interpolado
0.477	0.003935	original
0.4771394278855769	0.002404155459272	interpolado
0.47723924784957	0.0012572378765754	interpolado
0.4773390678135626	0.0001078255176791	interpolado
0.4774388877775555	-0.0010087383408334	interpolado
0.4775387077415484	-0.002057110422379	interpolado
0.477638527705541	-0.0030019474503722	interpolado
0.477738347669534	-0.0038079061482302	interpolado
0.4778381676335267	-0.0044396432393679	interpolado
0.4779379875975196	-0.004861815447202	interpolado
0.478	-0.005003	original
0.4781376275255052	-0.0049694340756046	interpolado
0.478237447489498	-0.0046887393066374	interpolado
0.4783372674534908	-0.0042386702332217	interpolado
0.4784370874174835	-0.0036602106882176	interpolado
0.4785369073814763	-0.0029943445044848	interpolado
0.4786367273454691	-0.0022820555148845	interpolado
0.4787365473094619	-0.0015643275522761	interpolado
0.4788363672734547	-0.0008821444495206	interpolado
0.4789361872374474	-0.0002764900394779	interpolado
0.479	5.17e-05	original
0.479135827165433	0.0005668341418171	interpolado
0.4792356471294258	0.0008048125543578	interpolado
0.4793354670934186	0.0009458938310903	interpolado
0.4794352870574114	0.0010099089755591	interpolado
0.4795351070214042	0.0010166889913085	interpolado
0.4796349269853969	0.0009860648818827	interpolado
0.4797347469493897	0.0009378676508261	interpolado
0.4798345669133825	0.0008919283016829	interpolado
0.4799343868773754	0.0008680778379975	interpolado
0.48	0.000874	original
0.480134026805361	0.0009538897515695	interpolado
0.4802338467693537	0.0010632181166683	interpolado
0.4803336667333465	0.001203824939886	interpolado
0.4804334866973394	0.0013656035974646	interpolado
0.4805333066613322	0.0015384474656461	interpolado
0.4806331266253249	0.0017122499206723	interpolado
0.4807329465893177	0.0018769043387851	interpolado
