Time - sec	Amplitude - g	tipo_valor
0.0748649729945989	-0.0020838322346179	interpolado
0.075	-0.003107	original
0.0750646129225845	-0.0034364479563713	interpolado
0.0751644328865773	-0.0037448437936237	interpolado
0.0752642528505701	-0.003840906518649	interpolado
0.0753640728145629	-0.003759965695518	interpolado
0.0754638927785557	-0.0035373508883016	interpolado
0.0755637127425485	-0.0032083916610709	interpolado
0.0756635327065412	-0.0028084175778968	interpolado
0.0757633526705341	-0.0023727582028501	interpolado
0.0758631726345269	-0.0019367431000021	interpolado
0.076	-0.001403	original
0.0760628125625125	-0.0012030608776971	interpolado
0.0761626325265053	-0.0009468265304237	interpolado
0.0762624524904981	-0.000756890384883	interpolado
0.0763622724544909	-0.0006227548230447	interpolado
0.0764620924184837	-0.0005339222268789	interpolado
0.0765619123824764	-0.0004798949783555	interpolado
0.0766617323464693	-0.0004501754594444	interpolado
0.076761552310462	-0.0004342660521156	interpolado
0.0768613722744548	-0.000421669138339	interpolado
0.077	-0.00039	original
0.0770610122024404	-0.0003649433843953	interpolado
0.0771608321664332	-0.0003083218408614	interpolado
0.077260652130426	-0.0002350820814364	interpolado
0.0773604720944188	-0.0001484178084579	interpolado
0.0774602920584116	-5.152272426381203e-05	interpolado
0.0775601120224044	5.240946880811905e-05	interpolado
0.0776599319863972	0.0001601850684201	interpolado
0.07775975195039	0.0002686103722343	interpolado
0.0778595719143828	0.000374491677913	interpolado
0.078	0.000513	original
0.0780592118423684	0.0005660083247098	interpolado
0.0781590318063612	0.0006480507312806	interpolado
0.078258851770354	0.0007221404070061	interpolado
0.0783586717343468	0.000789707136648	interpolado
0.0784584916983396	0.0008521807049679	interpolado
0.0785583116623324	0.0009109908967274	interpolado
0.0786581316263252	0.0009675674966882	interpolado
0.078757951590318	0.0010233402896119	interpolado
0.0788577715543108	0.0010797390602602	interpolado
0.079	0.001164	original
0.0790574114822964	0.0012001187666181	interpolado
0.0791572314462892	0.0012666828779594	interpolado
0.079257051410282	0.0013388516077481	interpolado
0.0793568713742748	0.0014175846279424	interpolado
0.0794566913382676	0.0015038416105007	interpolado
0.0795565113022604	0.001598582227381	interpolado
0.0796563312662532	0.0017027661505415	interpolado
0.079756151230246	0.0018173530519405	interpolado
0.0798559711942388	0.0019433026035362	interpolado
0.08	0.002147	original
0.0800556111222244	0.002232999762085	interpolado
0.0801554310862172	0.0023961164264138	interpolado
0.08025525105021	0.0025674870216812	interpolado
0.0803550710142028	0.0027436095002334	interpolado
0.0804548909781956	0.0029209818144168	interpolado
0.0805547109421884	0.0030961019165779	interpolado
0.0806545309061812	0.0032654677590628	interpolado
0.080754350870174	0.0034255772942182	interpolado
0.0808541708341668	0.0035729284743902	interpolado
0.081	0.003758	original
0.0810538107621524	0.0038152927917332	interpolado
0.0811536307261452	0.0039021364154666	interpolado
0.081253450690138	0.0039589839756487	interpolado
0.0813532706541308	0.0039802350789762	interpolado
0.0814530906181236	0.0039602893321461	interpolado
0.0815529105821164	0.0038935463418552	interpolado
0.0816527305461092	0.0037744057148004	interpolado
0.081752550510102	0.0035972670576786	interpolado
0.0818523704740948	0.0033565299771866	interpolado
0.082	0.002872	original
0.0820520104020804	0.0026624791633655	interpolado
0.0821518303660731	0.0022121529997231	interpolado
0.082251650330066	0.0017158396606918	interpolado
0.0823514702940587	0.0011942449423968	interpolado
0.0824512902580516	0.0006680746409628	interpolado
0.0825511102220444	0.0001580345525146	interpolado
0.0826509301860371	-0.0003151695268228	interpolado
0.08275075015003	-0.0007308318009248	interpolado
0.0828505701140227	-0.0010682464736664	interpolado
0.083	-0.001382	original
0.0830502100420084	-0.0014264631068895	interpolado
0.0831500300060011	-0.0014293789761177	interpolado
0.083249849969994	-0.0013387718652209	interpolado
0.0833496699339867	-0.0011788777848234	interpolado
0.0834494898979796	-0.000973932745549	interpolado
0.0835493098619723	-0.0007481727580219	interpolado
0.0836491298259652	-0.0005258338328661	interpolado
0.083748949789958	-0.0003311519807057	interpolado
0.0838487697539508	-0.0001883632121648	interpolado
0.0839485897179435	-0.0001217035378674	interpolado
0.084	-0.000125	original
0.0841482296459291	-0.0002879583356906	interpolado
0.084248049609922	-0.0005001587824823	interpolado
0.0843478695739148	-0.0007681540569157	interpolado
0.0844476895379076	-0.0010689851081313	interpolado
0.0845475095019003	-0.0013796928852692	interpolado
0.0846473294658931	-0.0016773183374698	interpolado
0.084747149429886	-0.0019389024138734	interpolado
0.0848469693938787	-0.0021414860636202	interpolado
0.0849467893578716	-0.0022621102358507	interpolado
0.085	-0.002285	original
0.0851464292858572	-0.0021890659402581	interpolado
0.0852462492498499	-0.002014030152886	interpolado
0.0853460692138427	-0.0017750236442769	interpolado
0.0854458891778355	-0.0014936061734002	interpolado
0.0855457091418283	-0.0011913374992252	interpolado
0.0856455291058211	-0.000889777380721	interpolado
0.0857453490698139	-0.000610485576857	interpolado
0.0858451690338067	-0.0003750218466024	interpolado
0.0859449889977995	-0.0002049459489264	interpolado
0.086	-0.000147	original
0.0861446289257851	-0.0001258817663804	interpolado
0.0862444488897779	-0.000199726947473	interpolado
0.0863442688537707	-0.0003222333437905	interpolado
0.0864440888177635	-0.0004729150015672	interpolado
0.0865439087817563	-0.0006312859670373	interpolado
0.0866437287457491	-0.0007768602864352	interpolado
0.0867435487097419	-0.000889152005995	interpolado
0.0868433686737347	-0.000947675171951	interpolado
0.0869431886377275	-0.0009319438305376	interpolado
0.087	-0.000882	original
0.0871428285657131	-0.0006152618059331	interpolado
0.0872426485297059	-0.0003299185585837	interpolado
0.0873424684936987	1.4597559004919588e-05	interpolado
0.0874422884576915	0.0003988584852278	interpolado
0.0875421084216843	0.0008034361584803	interpolado
0.0876419283856771	0.0012089025171574	interpolado
0.0877417483496699	0.0015958294996545	interpolado
0.0878415683136627	0.0019447890443666	interpolado
0.0879413882776555	0.0022363530896891	interpolado
0.088	0.002373	original
0.0881410282056411	0.0025808889394513	interpolado
0.0882408481696339	0.0026287087335132	interpolado
0.0883406681336267	0.0025994624393816	interpolado
0.0884404880976195	0.0024977774665065	interpolado
0.0885403080616123	0.0023282812243381	interpolado
0.0886401280256051	0.0020956011223263	interpolado
0.0887399479895979	0.0018043645699213	interpolado
0.0888397679535907	0.0014591989765732	interpolado
0.0889395879175835	0.001064731751732	interpolado
0.089	0.000804	original
0.0891392278455691	0.0001525324362322	interpolado
0.0892390478095619	-0.0003371768756881	interpolado
0.0893388677735547	-0.0008252157761858	interpolado
0.0894386877375475	-0.0012934014247209	interpolado
0.0895385077015403	-0.0017235509807533	interpolado
0.089638327665533	-0.0020974816037427	interpolado
0.0897381476295259	-0.0023970104531494	interpolado
0.0898379675935187	-0.002603954688433	interpolado
0.0899377875575115	-0.0027001314690535	interpolado
0.09	-0.002696	original
0.090137427485497	-0.0025082929433167	interpolado
0.0902372474494899	-0.0022494585349882	interpolado
0.0903370674134826	-0.0019210187450608	interpolado
0.0904368873774755	-0.0015527104835652	interpolado
0.0905367073414682	-0.0011742706605321	interpolado
0.090636527305461	-0.0008154361859922	interpolado
0.0907363472694538	-0.0005059439699764	interpolado
0.0908361672334466	-0.0002755309225153	interpolado
0.0909359871974394	-0.0001539339536396	interpolado
0.091	-0.000147	original
0.091135627125425	-0.0003283630668332	interpolado
0.0912354470894179	-0.0005941103755492	interpolado
0.0913352670534106	-0.0009309247285696	interpolado
0.0914350870174034	-0.0013021100363264	interpolado
0.0915349069813962	-0.0016709702092517	interpolado
0.091634726945389	-0.0020008091577776	interpolado
0.0917345469093818	-0.0022549307923361	interpolado
0.0918343668733746	-0.0023966390233593	interpolado
0.0919341868373674	-0.0023892377612794	interpolado
0.092	-0.002285	original
0.092133826765353	-0.001819511786653	interpolado
0.0922336467293458	-0.0013139701796669	interpolado
0.0923334666933386	-0.0007409290431766	interpolado
0.0924332866573314	-0.0001612682864271	interpolado
0.0925331066213242	0.0003641321813363	interpolado
0.092632926585317	0.000774392450869	interpolado
0.0927327465493098	0.0010086326129258	interpolado
0.0928325665133026	0.0010059727582617	interpolado
0.0929323864772954	0.0007055329776316	interpolado
0.093	0.000302	original
0.093132026405281	-0.0009706769268803	interpolado
0.0932318463692738	-0.0022580697148727	interpolado
0.0933316663332666	-0.0037161800551726	interpolado
0.0934314862972594	-0.0052463361544286	interpolado
0.0935313062612522	-0.0067498662192902	interpolado
0.093631126225245	-0.0081280984564064	interpolado
0.0937309461892378	-0.0092823610724259	interpolado
0.0938307661532306	-0.0101139822739982	interpolado
0.0939305861172234	-0.0105242902677721	interpolado
0.094	-0.010509	original
0.094130226045209	-0.0097641318344082	interpolado
0.0942300460092018	-0.0086697802206733	interpolado
0.0943298659731946	-0.0072442466180879	interpolado
0.0944296859371874	-0.0055992282574611	interpolado
0.0945295059011802	-0.003846422369601	interpolado
0.094629325865173	-0.0020975261853168	interpolado
0.0947291458291658	-0.0004642369354165	interpolado
