0.3;0.004632
0.301;-0.00573
0.302;-0.001919
0.303;-0.00238
0.304;0.000894
0.305;0.012027
0.306;0.009594
0.307;-0.00208
0.308;0.009659
0.309;0.010851
0.31;0.000443
0.311;0.004632
0.312;-0.002952
0.313;0.003746
0.314;0.001861
0.315;0.000266
0.316;-0.00234
0.317;0.010255
0.318;0.002505
0.319;-0.007275
0.32;-0.003383
0.321;-0.0021
0.322;-0.002922
0.323;-0.00224
0.324;-0.001759
0.325;0.006855
0.326;0.003923
0.327;0.010915
0.328;-0.005951
0.329;-0.004356
0.33;-0.003113
0.331;0.007226
0.332;0.001732
0.333;0.001587
0.334;0.004213
0.335;0.004036
0.336;0.002183
0.337;0.001668
0.338;-0.006272
0.339;-0.004878
0.34;0.002666
0.341;-0.007315
0.342;0.003859
0.343;-0.004075
0.344;0.00431
0.345;-0.001809
0.346;0.006436
0.347;0.010819
0.348;0.00431
0.349;0.010545
