Time - Voltage_1,Amplitude - Voltage_1,tipo_valor
0.0,-0.005891,original
9.981996399279867e-05,-0.005321490702135006,interpolado
0.00019963992798559732,-0.0048204017708015235,interpolado
0.000299459891978396,-0.004383050928848228,interpolado
0.00039927985597119453,-0.004004755899123791,interpolado
0.0004990998199639931,-0.0036808344044768943,interpolado
0.0005989197839567919,-0.0034066041677562127,interpolado
0.0006987397479495905,-0.0031773829118104226,interpolado
0.0007985597119423888,-0.002988488359488199,interpolado
0.0008983796759351872,-0.002835238233638219,interpolado
0.001,-0.002711,original
0.0010980196039207845,-0.0026169421527496976,interpolado
0.0011978395679135832,-0.0025425316434085077,interpolado
0.0012976595319063818,-0.002485036451934266,interpolado
0.0013974794958991803,-0.0024397743011756504,interpolado
0.0014972994598919786,-0.002402062913981336,interpolado
0.0015971194238847772,-0.0023672200132,interpolado
0.0016969393878775757,-0.002330563321680317,interpolado
0.0017967593518703746,-0.002287410562270965,interpolado
0.001896579315863173,-0.0022330794578206206,interpolado
0.002,-0.00216,original
0.00209621924384877,-0.0020739860904747933,interpolado
0.0021960392078415694,-0.0019716958111347747,interpolado
0.002295859171834368,-0.0018636139055131908,interpolado
0.002395679135827166,-0.0017573374820250435,interpolado
0.0024954990998199648,-0.0016604636490853341,interpolado
0.0025953190638127637,-0.0015805895151090618,interpolado
0.0026951390278055617,-0.0015253121885112275,interpolado
0.002794958991798361,-0.0015022287777068306,interpolado
0.0028947789557911595,-0.0015189363911108718,interpolado
0.003,-0.001588,original
0.003094418883776757,-0.0016963273321286604,interpolado
0.0031942388477695545,-0.0018334038435063114,interpolado
0.0032940588117623534,-0.0019608404239494417,interpolado
0.0033938787757551514,-0.002045214743137028,interpolado
0.0034936987397479503,-0.00205310447074805,interpolado
0.0035935187037407475,-0.0019510872764614844,interpolado
0.003693338667733547,-0.0017057408299563114,interpolado
0.0037931586317263444,-0.00128364280091151,interpolado
0.003892978595719143,-0.0006513708590060547,interpolado
0.004,0.000298,original
0.004092618523704739,0.0013637934834671765,interpolado
0.004192438487697538,0.0027188069174180676,interpolado
0.004292258451690337,0.004220884484811173,interpolado
0.0043920784156831335,0.005801366653960711,interpolado
0.004491898379675935,0.0073915938931809096,interpolado
0.004591718343668733,0.008922906670785947,interpolado
0.00469153830766153,0.010326645455090058,interpolado
0.00479135827165433,0.011534150714407432,interpolado
0.004891178235647129,0.012476762917052287,interpolado
0.005,0.013122,original
0.005090818163632725,0.013308481119619726,interpolado
0.005190638127625526,0.013174888187054914,interpolado
0.005290458091618324,0.012742333039210345,interpolado
0.005390278055611122,0.01206812037850289,interpolado
0.0054900980196039215,0.011209554907349402,interpolado
0.00558991798359672,0.010223941328166754,interpolado
0.005689737947589518,0.009168584343371804,interpolado
0.005789557911582318,0.008100788655381403,interpolado
0.005889377875575115,0.0070778589666124336,interpolado
0.006,0.006066,original
0.006089017803560713,0.0053873033793538526,interpolado
0.006188837767553511,0.004770044942005283,interpolado
0.00628865773154631,0.004290624044400167,interpolado
0.006388477695539108,0.003934324851557539,interpolado
0.006488297659531905,0.003686431528496415,interpolado
0.006588117623524705,0.003532228240235819,interpolado
0.006687937587517502,0.0034569991517947748,interpolado
0.006787757551510303,0.0034460284281923052,interpolado
0.006887577515503101,0.0034846002344474333,interpolado
0.007,0.003569,original
0.007087217443488696,0.0036525046790334263,interpolado
0.007187037407481496,0.003760241013046641,interpolado
0.007286857371474294,0.0038754529950394798,interpolado
0.007386677335467093,0.003992388889030884,interpolado
0.007486497299459892,0.004105296959039788,interpolado
0.0075863172634526915,0.0042084254690851345,interpolado
0.00768613722744549,0.004296022683185861,interpolado
0.007785957191438287,0.004362336865360904,interpolado
0.007885777155431088,0.004401616279629209,interpolado
0.008,0.004406,original
0.008085417083416686,0.0043764988787942894,interpolado
0.008185237047409484,0.004304165222198036,interpolado
0.008285057011402286,0.0041895199909879124,interpolado
0.008384876975395084,0.004030977041484518,interpolado
0.008484696939387882,0.0038269502300084636,interpolado
0.00858451690338068,0.0035758534128803405,interpolado
0.00868433686737348,0.003276100446420759,interpolado
0.00878415683136628,0.002926105186950326,interpolado
0.008883976795359077,0.002524281490789631,interpolado
0.009,0.00199,original
0.009083616723344675,0.001560968371319521,interpolado
0.00918343668733747,0.0010148273904127517,interpolado
0.009283256651330271,0.00045110925603547244,interpolado
0.009383076615323067,-0.0001096812996893785,interpolado
0.009482896579315865,-0.0006470395446388627,interpolado
0.009582716543308663,-0.0011404607466900679,interpolado
0.009682536507301462,-0.0015694401737200556,interpolado
0.009782356471294258,-0.0019134730936058906,interpolado
0.00988217643528706,-0.002152054774224655,interpolado
0.01,-0.00227,original
0.010081816363272652,-0.002234953636625872,interpolado
0.010181636327265452,-0.002074995467989255,interpolado
0.01028145629125825,-0.0018090214829786352,interpolado
0.01038127625525105,-0.0014612909597585399,interpolado
0.010481096219243848,-0.001056063176493506,interpolado
0.010580916183236646,-0.000617597411348048,interpolado
0.010680736147229445,-0.0001701529424866987,interpolado
0.010780556111222242,0.000262010951926004,interpolado
0.01088037607521504,0.0006546349937255479,interpolado
0.011,0.001039,original
0.01108001600320064,0.0012268784518034007,interpolado
0.011179835967193439,0.0013827830886179978,interpolado
0.011279655931186237,0.0014577668824297173,interpolado
0.011379475895179035,0.0014584631079237907,interpolado
0.011479295859171835,0.0013915050397854468,interpolado
0.011579115823164633,0.0012635259526999167,interpolado
0.011678935787157431,0.001081159121352433,interpolado
0.01177875575115023,0.0008510378204282198,interpolado
0.01187857571514303,0.0005797953246125094,interpolado
0.012,0.000204,original
0.012078215643128627,-5.7945634829769185e-05,interpolado
0.012178035607121426,-0.00039575763256647826,interpolado
0.012277855571114226,-0.0007131342106800559,interpolado
0.01237767553510702,-0.0009838053142930416,interpolado
0.012477495499099822,-0.0011815008885279908,interpolado
0.01257731546309262,-0.0012799508785074417,interpolado
0.012677135427085416,-0.0012528852293539425,interpolado
0.012776955391078218,-0.0010740338861900353,interpolado
0.012876775355071018,-0.0007171267941382656,interpolado
0.013,8.1e-06,original
0.013076415283056614,0.0006285539763435931,interpolado
0.013176235247049412,0.0015940884236062384,interpolado
0.01327605521104221,0.0026684793438882617,interpolado
0.013375875175035011,0.003779284569372759,interpolado
0.01347569513902781,0.00485406193224277,interpolado
0.013575515103020611,0.005820369264681352,interpolado
0.01367533506701341,0.006605764398871551,interpolado
0.013775155031006209,0.00713780516699645,interpolado
0.01387497499499901,0.007344049401239096,interpolado
0.014,0.007032,original
0.014074614922984603,0.0065013084851084,interpolado
0.014174434886977401,0.005435994545275859,interpolado
0.014274254850970199,0.004054577801791715,interpolado
0.014374074814962995,0.002455982759256066,interpolado
0.014473894778955797,0.0007391339222690807,interpolado
0.014573714742948593,-0.00099704420456907,interpolado
0.01467353470694139,-0.0026536271166582954,interpolado
0.014773354670934187,-0.004131690309398429,interpolado
0.014873174634926982,-0.005332309278189306,interpolado
0.015,-0.006302,original
0.01507281456291258,-0.006516806811217608,interpolado
0.01517263452690538,-0.006430719990526133,interpolado
0.015272454490898178,-0.005973321979935624,interpolado
0.015372274454890979,-0.005220211675973328,interpolado
0.015472094418883775,-0.004246987975166488,interpolado
0.015571914382876577,-0.0031292497740423807,interpolado
0.015671734346869373,-0.001942595969128208,interpolado
0.015771554310862173,-0.0007626254569512583,interpolado
0.015871374274854976,0.0003350628659612806,interpolado
0.016,0.001506,original
0.016071014202840572,0.0019870445440673358,interpolado
0.016170834166833372,0.0024598478088470504,interpolado
0.016270654130826165,0.002714725691555405,interpolado
0.01637047409481896,0.0027735142421028143,interpolado
0.016470294058811764,0.002658049510399662,interpolado
0.016570114022804557,0.0023901675463563485,interpolado
0.016669933986797354,0.0019917043998832653,interpolado
0.016769753950790153,0.0014844961208907844,interpolado
0.016869573914782953,0.000890378759289334,interpolado
0.017,1.94e-05,original
0.017069213842768553,-0.0004713999676812679,interpolado
0.017169033806761345,-0.0011974118093083194,interpolado
0.01726885377075415,-0.0019278940736365277,interpolado
0.017368673734746952,-0.0026439075916160405,interpolado
0.01746849369873975,-0.0033265131941969286,interpolado
0.017568313662732548,-0.003956771712329342,interpolado
0.01766813362672535,-0.004515743976963423,interpolado
0.017767953590718144,-0.004984490819049253,interpolado
0.017867773554710947,-0.005344073069536989,interpolado
0.018,-0.00562,original
0.018067413482696543,-0.005662416619073552,interpolado
0.01816723344668934,-0.005615529651759465,interpolado
0.018267053410682136,-0.005463005450866616,interpolado
0.01836687337467494,-0.005233228690736525,interpolado
0.01846669333866774,-0.004954584045710695,interpolado
0.018566513302660535,-0.004655456190130669,interpolado
0.018666333266653328,-0.004364229798337952,interpolado
0.01876615323064613,-0.004109289544674056,interpolado
0.018865973194638928,-0.0039190201034805154,interpolado
0.019,-0.003815,original
0.019065613122624524,-0.0038433703387259466,interpolado
0.01916543308661732,-0.003977415048445703,interpolado
0.019265253050610116,-0.004196462560216229,interpolado
0.019365073014602913,-0.004472657950815526,interpolado
0.019464892978595716,-0.004778146297021566,interpolado
0.019564712942588512,-0.005085072675612345,interpolado
0.019664532906581312,-0.005365582163365864,interpolado
0.01976435287057411,-0.005591819837060095,interpolado
0.019864172834566908,-0.005735930773473035,interpolado
0.02,-0.00575,original
0.02006381276255251,-0.005668880519891806,interpolado
0.020163632726545307,-0.005439575242045542,interpolado
0.02026345269053811,-0.005111887510660186,interpolado
0.02036327265453091,-0.0047160147550057985,interpolado
0.02046309261852371,-0.004282154404352406,interpolado
0.02056291258251651,-0.003840503887970033,interpolado
0.020662732546509306,-0.003421260635128746,interpolado
0.02076255251050211,-0.0030546220750985566,interpolado
0.02086237247449491,-0.0027707856371495267,interpolado
0.021,-0.002571,original
0.02106201240248051,-0.002569741637224802,interpolado
0.021161832366473305,-0.002672436399312207,interpolado
0.021261652330466105,-0.002874568814522103,interpolado
0.0213614722944589,-0.0031420928772254494,interpolado
0.021461292258451697,-0.0034409625817931767,interpolado
0.021561112222444494,-0.003737131922596243,interpolado
0.02166093218643729,-0.003996554894005605,interpolado
0.02176075215043009,-0.004185185490392196,interpolado
0.021860572114422883,-0.00426897770612697,interpolado
0.022,-0.004146,original
0.02206021204240848,-0.003988651792439667,interpolado
0.022160032006401275,-0.003603222953862255,interpolado
0.022259851970394078,-0.0030989976052539846,interpolado
0.02235967193438687,-0.002518168141830152,interpolado
0.022459491898379667,-0.0019029269588060052,interpolado
0.022559311862372467,-0.0012954664513967864,interpolado
0.022659131826365267,-0.0007379790148177982,interpolado
0.02275895179035806,-0.00027265704428428375,interpolado
0.022858771754350866,5.830706498850607e-05,interpolado
0.023,0.000215,original
0.02305841168233646,0.00015192281680915354,interpolado
0.023158231646329266,-0.00010668718693653501,interpolado
0.023258051610322066,-0.000500837437687128,interpolado
0.023357871574314865,-0.0009669984465070475,interpolado
0.02345769153830767,-0.0014416407244607268,interpolado
0.023557511502300465,-0.0018612347826125466,interpolado
0.02365733146629326,-0.0021622511320269428,interpolado
0.02375715143028606,-0.0022811602837683295,interpolado
0.023856971394278864,-0.002154432748901115,interpolado
0.024,-0.001418,original
