0.05;-0.007149
0.051;0.008659
0.052;-0.000605
0.053;0.001651
0.054;-0.00431
0.055;0.006388
0.056;0.003762
0.057;-0.002585
0.058;-0.000229
0.059;0.000233
0.06;-0.00413
0.061;-0.005093
0.062;-0.000459
0.063;8.83E-05
0.064;0.008305
0.065;-0.002425
0.066;-0.002706
0.067;0.009803
0.068;0.005018
0.069;-0.002856
0.07;-0.00408
0.071;0.00294
0.072;0.00128
0.073;-0.002224
0.074;-0.004481
0.075;-0.000685
0.076;-4.06E-05
0.077;-0.00081
0.078;0.006662
0.079;0.002054
0.08;-0.00756
0.081;-0.002575
0.082;-0.001753
0.083;0.001506
0.084;0.006662
0.085;0.002086
0.086;-0.00075
0.087;0.015571
0.088;0.013026
0.089;0.001232
0.09;-0.002505
0.091;0.000749
0.092;0.000346
0.093;0.000459
0.094;0.003182
0.095;-0.001492
0.096;-0.01127
0.097;0.007612
0.098;0.002585
0.099;0.000104
