0.25;0.000959
0.251;-0.001548
0.252;0.000314
0.253;-0.003032
0.254;0.001152
0.255;-0.001458
0.256;0.001571
0.257;0.002215
0.258;0.001297
0.259;-0.001107
0.26;0.011125
0.261;-0.001608
0.262;0.001458
0.263;-0.001809
0.264;0.001974
0.265;-0.001227
0.266;0.007226
0.267;0.006372
0.268;-0.004627
0.269;-0.003564
0.27;-0.006282
0.271;-0.004797
0.272;-0.003293
0.273;-0.001207
0.274;-0.003093
0.275;-0.001337
0.276;0.000524
0.277;0.014089
0.278;-0.001608
0.279;0.003456
0.28;0.003069
0.281;0.01301
0.282;0.000814
0.283;0.000862
0.284;0.003037
0.285;0.000572
0.286;0.004374
0.287;0.001877
0.288;0.006581
0.289;-0.008217
0.29;-0.001919
0.291;-0.007977
0.292;-0.005971
0.293;-0.001378
0.294;-0.001709
0.295;0.00033
0.296;0.002973
0.297;0.018068
0.298;-0.004898
0.299;0.001216
