0.2;0.000326
0.201;-0.001623
0.202;0.000605
0.203;0.002211
0.204;-1.19E-05
0.205;0.000643
0.206;0.001938
0.207;0.000724
0.208;0.000383
0.209;0.004612
0.21;0.002582
0.211;0.001358
0.212;0.000375
0.213;-0.004171
0.214;-0.000157
0.215;-0.000861
0.216;-0.000139
0.217;-0.000149
0.218;0.002421
0.219;0.009832
0.22;0.013973
0.221;0.000643
0.222;0.003162
0.223;-0.002456
0.224;-0.000259
0.225;0.000373
0.226;0.00023
0.227;0.000939
0.228;-0.002556
0.229;-0.000544
0.23;-0.004993
0.231;-0.003789
0.232;0.000536
0.233;-0.00386
0.234;0.000553
0.235;0.000232
0.236;-0.000741
0.237;-0.000951
0.238;0.002759
0.239;0.010992
0.24;0.007061
0.241;0.005144
0.242;-0.005334
0.243;0.008898
0.244;0.000235
0.245;0.000713
0.246;0.002663
0.247;-0.00055
0.248;0.007576
0.249;-0.00041
