Time - Voltage_1,Amplitude - Voltage_1
0.35,0.00294
0.351,0.011544
0.352,-0.001829
0.353,0.001796
0.354,0.002924
0.355,0.000137
0.356,0.002795
0.357,-0.001959
0.358,-0.006091
0.359,0.001055
0.36,-0.00226
0.361,-0.003062
0.362,-0.017594
0.363,-0.005008
0.364,-0.002832
0.365,0.00149
0.366,-0.003815
0.367,0.003714
0.368,0.010657
0.369,0.012849
0.37,0.006162
0.371,0.002634
0.372,0.007242
0.373,0.001877
0.374,0.006098
0.375,0.000218
0.376,0.00286
0.377,-0.002862
0.378,0.000701
0.379,-0.010203
0.38,-0.010755
0.381,-0.008298
0.382,0.01475
0.383,0.001361
0.384,-0.007676
0.385,-0.000762
0.386,-0.003093
0.387,0.001555
0.388,0.003359
0.389,0.00497
0.39,0.004954
0.391,0.007741
0.392,-0.003072
0.393,0.000234
0.394,-0.001468
0.395,0.004149
0.396,0.003246
0.397,-0.001518
0.398,-0.0023
0.399,-0.002982
