0.45;0.009272
0.451;0.001184
0.452;0.00315
0.453;0.001168
0.454;0.000443
0.455;0.001055
0.456;0.001925
0.457;-0.002531
0.458;-0.002922
0.459;-0.004025
0.46;-0.00227
0.461;-0.002411
0.462;-0.00907
0.463;0.00178
0.464;-0.004747
0.465;-0.001709
0.466;-0.001588
0.467;0.002393
0.468;0.011769
0.469;0.000427
0.47;-0.000762
0.471;0.001587
0.472;-0.006723
0.473;-0.004366
0.474;0.000121
0.475;-0.000273
0.476;0.000669
0.477;0.004729
0.478;-0.001749
0.479;-0.004356
0.48;-0.001849
0.481;-0.004477
0.482;-0.006021
0.483;-0.002782
0.484;-0.001458
0.485;-0.00235
0.486;-0.001227
0.487;0.00041
0.488;0.005244
0.489;-0.001819
0.49;0.002731
0.491;0.00265
0.492;-0.002561
0.493;0.00344
0.494;0.00265
0.495;0.000653
0.496;0.00199
0.497;-0.001478
0.498;-0.001137
0.499;-0.00554
