Time - Voltage_1,Amplitude - Voltage_1
0.25,0.007258
0.251,-0.004105
0.252,-0.003504
0.253,0.001168
0.254,-0.001568
0.255,-0.002421
0.256,0.000669
0.257,0.0046
0.258,0.000314
0.259,0.005454
0.26,0.005051
0.261,-0.003584
0.262,0.00207
0.263,0.00352
0.264,0.001168
0.265,-0.001167
0.266,0.004874
0.267,-0.005098
0.268,-0.005158
0.269,-0.003042
0.27,-0.006101
0.271,-0.001488
0.272,-0.002691
0.273,-0.001688
0.274,-0.005379
0.275,2.42e-05
0.276,-0.00215
0.277,0.003069
0.278,0.010819
0.279,0.006259
0.28,-0.001719
0.281,0.000117
0.282,0.000491
0.283,-0.00218
0.284,0.002618
0.285,0.001233
0.286,-0.001668
0.287,0.005212
0.288,-0.003273
0.289,-0.003343
0.29,-0.002942
0.291,-0.00914
0.292,-0.001578
0.293,0.00025
0.294,-0.001558
0.295,-0.002009
0.296,-0.00207
0.297,0.003359
0.298,0.000121
0.299,0.006388
